ID,SSN,Name,Role,Rank,Licence,Address,Phonenumber,Email
1,3009907461,William Carillo,Pilot,Captain,NAFokkerF100,Fellsmúli 1,8571077,william.carillo@nanair.is
2,2910858778,Virginia Ho,Pilot,Captain,NABAE146,Fellsmúli 2,8998802,virginia.ho@nanair.is
3,2706838569,Gerard Nelson,Pilot,Captain,NAFokkerF100,Fellsmúli 3,8571077,gerard.nelson@nanair.is
4,2209955782,Allen Ley,Pilot,Captain,NABAE146,Fellsmúli 4,8998804,allen.ley@nanair.is
5,2907675667,Felecia Moye,Pilot,Captain,NABAE146,Fellsmúli 5,8998805,felecia.moye@nanair.is
6,1309797899,Tyler Anderson,Pilot,Captain,NAFokkerF28,Fellsmúli 6,8998806,tyler.anderson@nanair.is
7,2410876598,Nan Gage,Pilot,Copilot,NAFokkerF100,Fellsmúli 7,8998807,nan.gage@nanair.is
8,2211658134,Charla Johnson,Pilot,Copilot,NABAE146,Fellsmúli 8,7880771,charla.johnson@nanair.is
9,2504939263,Sam Preciado,Pilot,Copilot,NABAE146,Fellsmúli 9,8998809,sam.preciado@nanair.is
10,1900769521,Jasmine Hagadone,Pilot,Copilot,NABAE146,Fellsmúli 10,8998810,jasmine.hagadone@nanair.is
11,2500812671,Anna Phillips,Pilot,Copilot,NAFokkerF28,Fellsmúli 11,8998811,anna.phillips@nanair.is
12,1309927223,Patricia Bates,Pilot,Copilot,NAFokkerF28,Fellsmúli 12,8998812,patricia.bates@nanair.is
13,1600904199,Sherry Walker,Cabincrew,Flight Service Manager,N/A,Fellsmúli 13,8998813,sherry.walker@nanair.is
14,0303758167,Margarita Fischer,Cabincrew,Flight Service Manager,N/A,Fellsmúli 14,8998814,margarita.fishcher@nanair.is
15,2200763823,Judith Aleshire,Cabincrew,Flight Service Manager,N/A,Fellsmúli 15,8998815,judith.aleshire@nanair.is
16,1308941169,Jacob Blecha,Cabincrew,Flight Service Manager,N/A,Fellsmúli 16,8998816,jacob.becha@nanair.is
17,1405853585,Lula Stefani,Cabincrew,Flight Service Manager,N/A,Fellsmúli 17,8998817,lula.stefani@nanair.is
18,0909862878,Richard Sanders,Cabincrew,Flight Service Manager,N/A,Fellsmúli 18,8998818,richard.sanders@nanair.is
19,1811931544,John Kline,Cabincrew,Flight Service Manager,N/A,Fellsmúli 19,8998819,john.kline@nanair.is
20,0409858797,Evelyn Pickhardt,Cabincrew,Flight Service Manager,N/A,Fellsmúli 20,8998820,evelyn.pickhardt@nanair.is
21,3002688722,Stacey Henrickson,Cabincrew,Flight Attendant,N/A,Fellsmúli 21,8998821,stacey.henrickson@nanair.is
22,3003962187,Delores Whitfield,Cabincrew,Flight Attendant,N/A,Fellsmúli 22,8998822,delores.whitfield@nanair.is
23,1311772221,Maribel Lucero,Cabincrew,Flight Attendant,N/A,Fellsmúli 23,8998823,maribel.lucero@nanair.is
24,2509913418,Katherine Wernimont,Cabincrew,Flight Attendant,N/A,Fellsmúli 24,8998824,katherine.wernimont@nanair.is
25,1103647756,Wilma Horne,Cabincrew,Flight Attendant,N/A,Fellsmúli 25,8998825,wilma.horne@nanair.is
26,2807755841,Bernard Carr,Cabincrew,Flight Attendant,N/A,Fellsmúli 26,8998826,bernard.carr@nanair.is
27,0409907212,Sara Davis,Cabincrew,Flight Attendant,N/A,Fellsmúli 27,8998827,sara.davis@nanair.is
28,1103912131,Robert Swope,Cabincrew,Flight Attendant,N/A,Fellsmúli 28,8998828,robert.swope@nanair.is
29,2801645554,John Iversen,Cabincrew,Flight Attendant,N/A,Fellsmúli 29,8998829,john.iversen@nanair.is
30,1501681497,Rhonda Forman,Cabincrew,Flight Attendant,N/A,Fellsmúli 30,8998830,rhonda.forman@nanair.is
31,1811813379,Melissa Paquette,Cabincrew,Flight Attendant,N/A,Fellsmúli 31,8998831,melissa.paquette@nanair.is
32,0505942924,Carlton Chan,Cabincrew,Flight Attendant,N/A,Fellsmúli 32,8998832,carlton.chan@nanair.is
33,1110732819,Arthur Karr,Cabincrew,Flight Attendant,N/A,Fellsmúli 33,8998833,arthur.karr@nanair.is
34,2602806942,Teresa Thruman,Cabincrew,Flight Attendant,N/A,Fellsmúli 34,8998834,teresa.thruman@nanair.is
35,1107951952,Elizabeth Mcfadden,Cabincrew,Flight Attendant,N/A,Fellsmúli 35,8998835,elizabeth.mcfadden@nanair.is
36,0303932799,Vésteinn Bjarnason,Pilot,Captain,NAFOKKER420,Furuvellir 28,8697278,vésteinn.bjarnason@nanair.is
37,0110972519,Isol Sigurdardottir,Cabincrew,Captain,N/A,Einiberg 21,6613536,isol.sigurdardottir@nanair.is
38,0203002050,Dilja Sigurdardottir,Cabincrew,Flight Service Manager,N/A,Einiberg 21,6613136,dilja.sigurdardottir@nanair.is
39,2007734479,Sunna Run,Pilot,Captain,NAFokkerF100,Kirkjuvegur 5,8571077,sunna.run@nanair.is
